
Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
1966 ★,35,SFG,NL,152,629,552,99,159,29,4,37,103,5,1,70,81,.288,.368,.556,.924,149,307,13,2,1,4,11,*8/97,ASMVP-3GG
1967 ★,36,SFG,NL,141,544,486,83,128,22,2,22,70,6,0,51,92,.263,.334,.453,.787,124,220,12,2,2,3,7,*8,ASGG
1968 ★,37,SFG,NL,148,573,498,84,144,20,5,23,79,12,6,67,81,.289,.372,.488,.860,156,243,13,2,0,6,7,*8/39,ASMVP-13GG
1969 ★,38,SFG,NL,117,459,403,64,114,17,3,13,58,6,2,49,71,.283,.362,.437,.798,124,176,8,3,0,4,7,8/93,AS
1970 ★,39,SFG,NL,139,566,478,94,139,15,2,28,83,5,0,79,90,.291,.390,.506,.897,140,242,7,3,0,6,3,*8/3,AS
1971 ★,40,SFG,NL,136,537,417,82,113,24,5,18,61,23,3,112,123,.271,.425,.482,.907,158,201,8,3,1,4,11,83,ASMVP-19
1972 ★,41,TOT,NL,88,309,244,35,61,11,1,8,22,4,5,60,48,.250,.400,.402,.802,131,98,9,1,4,0,6,83,AS
1972,41,SFG,NL,19,67,49,8,9,2,0,0,3,3,0,17,5,.184,.394,.224,.618,79,11,4,0,1,0,1,8,
1972,41,NYM,NL,69,242,195,27,52,9,1,8,19,1,5,43,43,.267,.402,.446,.848,145,87,5,1,3,0,5,83,
1973 ★,42,NYM,NL,66,239,209,24,44,10,0,6,25,1,0,27,47,.211,.303,.344,.647,81,72,7,1,1,1,0,83,AS
22 Yrs,22 Yrs,22 Yrs,22 Yrs,2992,12496,10881,2062,3283,523,140,660,1903,338,103,1464,1526,.302,.384,.557,.941,156,6066,251,44,13,91,192,,
162 Game Avg.,162 Game Avg.,162 Game Avg.,162 Game Avg.,162,677,589,112,178,28,8,36,103,18,6,79,83,.302,.384,.557,.941,156,328,14,2,1,,,,
,,,,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
SFG (21 yrs),SFG (21 yrs),SFG (21 yrs),SFG (21 yrs),2857,12015,10477,2011,3187,504,139,646,1859,336,98,1394,1436,.304,.385,.564,.949,157,5907,239,42,9,90,187,,
NYM (2 yrs),NYM (2 yrs),NYM (2 yrs),NYM (2 yrs),135,481,404,51,96,19,1,14,44,2,5,70,90,.238,.352,.394,.746,112,159,12,2,4,1,5,,
